Breed,Disease,Disorder,Recommended Recipes
brittany,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
brittany,Cleft lip/palate,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
brittany,Complement deficiency,Inherited immune disorders,"Metabolic Dog Treats, Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food"
brittany,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
brittany,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
brittany,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
brittany,Spinal muscular atrophy/motor neuron diseases,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
brussels griffon,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
brussels griffon,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
brussels griffon,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
brussels griffon,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
brussels griffon,Chiari-like malformation (CM) and syringomyelia (SM),Inherited nervous system disorders,"Metabolic Stew for Dog with Chicken & Vegetables, Metabolic Weight Loss & Maintenance Wet Dog Food with Chicken Can, r/d Chicken Flavor Wet Dog Food"
bull terrier,Histiocytoma,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
bull terrier,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
bull terrier,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d Stew for Dogs, k/d Kidney Care Wet Dog Food Original Can, k/d Dog Food"
bull terrier,Ectropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
bull terrier,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
bull terrier,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"Derm Complete Rice & Egg Recipe Dry Dog Food, Derm Complete Puppy Dry Dog Food Original, Derm Complete Dry Dog Food Original"
bull terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
bull terrier,Laryngeal paralysis,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
bull terrier,Deafness,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
bull terrier,Laryngeal paralysis,Inherited respiratory disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
bull terrier,Demodicosis/ Demodectic mange,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
bull terrier,lethal acrodermatitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
cairn terrier,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
cairn terrier,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
cairn terrier,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,Portosystemic shunt,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,"Cryptorchidism, retained testicle",Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
cairn terrier,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cairn terrier,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cairn terrier,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cairn terrier,Portosystemic shunt,Inherited gastrointestinal disorders,"Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag, Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can, Gastrointestinal Biome Dry Dog Food with Chicken Bag"
cairn terrier,Atopy,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
cairn terrier,"Craniomandibular osteopathy (""lion jaw"")",Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,Patellar luxation,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,Globoid cell leukodystrophy (galactocerebrosidosis),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,Hydrocephalus,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cairn terrier,Atopy,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
canaan dog,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
canaan dog,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
canaan dog,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cardigan welsh corgi,Lens luxation,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cardigan welsh corgi,Persistent pupillary membranes (PPM),Inherited eye disorders,"l/d Wet Dog Food Original, i/d Low Fat Digestive Care Wet Dog Food Original Can, k/d Kidney Care Wet Dog Food Original Can"
cardigan welsh corgi,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cardigan welsh corgi,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cardigan welsh corgi,Severe combined immunodeficiency (SCID),Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
cardigan welsh corgi,Intervertebral disk disease,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cardigan welsh corgi,Intervertebral disk disease,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cavalier king charles spaniel,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cavalier king charles spaniel,Urolithiasis (stones),Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare Chicken Flavor Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
cavalier king charles spaniel,Diabetes mellitus,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
cavalier king charles spaniel,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
cavalier king charles spaniel,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
cavalier king charles spaniel,Chiari-like malformation (CM) and syringomyelia (SM),Inherited nervous system disorders,"Metabolic Stew for Dog with Chicken & Vegetables, Metabolic Weight Loss & Maintenance Wet Dog Food with Chicken Can, r/d Chicken Flavor Wet Dog Food"
cavalier king charles spaniel,Idiopathic epilepsy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cavalier king charles spaniel,brachycephalic syndrome,Inherited respiratory disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
cavalier king charles spaniel,ichthyosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chesapeake bay retriever,von Willebrand's disease,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
chesapeake bay retriever,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chesapeake bay retriever,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chesapeake bay retriever,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chesapeake bay retriever,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chesapeake bay retriever,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
chesapeake bay retriever,Degenerative myelopathy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Hemophilia,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
chihuahua,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Patent ductus arteriosus (PDA),Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Pulmonic stenosis,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,"Cryptorchidism, retained testicle",Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
chihuahua,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"Derm Complete Rice & Egg Recipe Dry Dog Food, Derm Complete Puppy Dry Dog Food Original, Derm Complete Dry Dog Food Original"
chihuahua,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chihuahua,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chihuahua,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chihuahua,Patellar luxation,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Chiari-like malformation (CM) and syringomyelia (SM),Inherited nervous system disorders,"Metabolic Stew for Dog with Chicken & Vegetables, Metabolic Weight Loss & Maintenance Wet Dog Food with Chicken Can, r/d Chicken Flavor Wet Dog Food"
chihuahua,Hydrocephalus,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Neuroaxonal dystrophy,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,Spina bifida,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chihuahua,colour dilution alopecia,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chihuahua,Demodicosis/ Demodectic mange,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chihuahua,pattern baldness,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chow chow,Diabetes mellitus,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
chow chow,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited endocrine disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
chow chow,Hypothyroidism,Inherited endocrine disorders,"w/d Dry Dog Food with Chicken, w/d Wet Dog Food with Chicken, i/d Low Fat Digestive Care Dog Food"
chow chow,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Ectropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Persistent pupillary membranes (PPM),Inherited eye disorders,"l/d Wet Dog Food Original, i/d Low Fat Digestive Care Wet Dog Food Original Can, k/d Kidney Care Wet Dog Food Original Can"
chow chow,Corneal dystrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Glaucoma,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Progressive retinal atrophy,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
chow chow,Pemphigus,Inherited immune disorders,"Adult Turkey & Barley Dog Food, Adult Chicken & Barley Entrée Dog Food, Adult Beef & Barley Entrée Dog Food"
chow chow,Cervical vertebral instability (Wobbler syndrome),Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
chow chow,Myotonia,Inherited musculoskeletal disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,"Hypo-/dysmyelinogenesis (""shaking pup"")",Inherited nervous system disorders,"Hypo Dog Treats, c/d Multicare Chicken Flavor Dog Food, Multi-Benefit Puppy Medium Dry Food"
chow chow,Cerebellar hypoplasia,Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
chow chow,colour dilution alopecia,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chow chow,Dermatomyositis and ulcerative dermatosis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chow chow,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited skin disorders,"Gastrointestinal Biome Dry Dog Food, Gastrointestinal Biome Wet Dog Food, Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag"
chow chow,Pemphigus,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
chow chow,sebaceous adenitis,Inherited skin disorders,"Adult Sensitive Stomach & Skin Tender Chicken & Vegetable Stew Dog Food, Adult Sensitive Stomach & Skin Chicken & Vegetable Entrée dog food, Adult Sensitive Stomach & Skin Salmon & Vegetable Entrée Dog Food"
clumber spaniel,Cataracts,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
clumber spaniel,Ectropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
clumber spaniel,Entropion,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
clumber spaniel,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
clumber spaniel,Retinal dysplasia,Inherited eye disorders,"Puppy No Corn, Wheat, Soy Chicken & Brown Rice Recipe                                  , Puppy Large Breed Dry Dog Food with Chicken, Puppy Medium Breed Dry Dog Food with Lamb & Rice"
clumber spaniel,Hip dysplasia,Inherited musculoskeletal disorders,"Adult Healthy Mobility Large Breed Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dog Food   , Multi-Benefit Puppy Medium Dry Food"
coton de tulear,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
dachshund,Histiocytoma,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
dachshund,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
dachshund,von Willebrand's disease,Inherited blood disorders,"u/d Chicken Flavor Wet Dog Food, w/d Multi-Benefit Chicken Flavor Wet Dog Food, u/d Dry Dog Food"
dachshund,Mitral valve dysplasia,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
dachshund,Portosystemic shunt,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
dachshund,Sick sinus syndrome,Inherited cardiovascular disorders,"c/d Multicare Chicken Flavor Dog Food, Adult Wet Dog Food with Beef, Senior Small & Mini Breed Dry Dog Food with Chicken"
dachshund,"Cryptorchidism, retained testicle",Inherited disorders of the urinary and reproductive systems,"c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, c/d Multicare + Metabolic Weight Dry Dog Food, c/d Multicare Dry Dog Food with Chicken Bag"
