   , Breed                     , Disease                                  , Count        , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , temperament                              , popularity, min_height, max_height, min_weight         , max_weight        , min_expectancy, max_expectancy, group                   , grooming_frequency_value, grooming_frequency_category, shedding_value, shedding_category, energy_level_value, energy_level_category , trainability_value, trainability_category, demeanor_value, demeanor_category
 59, Cocker Spaniel            , Immunoproliferative enteropathy (Basenji), 4+1+1+18     , "Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Gentle, Smart, Happy"                   ,         30,      34.29,      39.37,  9.0718474         , 13.6077711        ,           10.0,           14.0, Sporting Group          ,                      0.8, Daily Brushing             ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            1.0, Outgoing
 60, Cocker Spaniel            , Gluten-sensitive enteropathy             , 4+1+1+18     , "Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Gentle, Smart, Happy"                   ,         30,      34.29,      39.37,  9.0718474         , 13.6077711        ,           10.0,           14.0, Sporting Group          ,                      0.8, Daily Brushing             ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            1.0, Outgoing
 61, Cocker Spaniel            , Protein-losing enteropathy               , 4+1+1+18     , "Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Gentle, Smart, Happy"                   ,         30,      34.29,      39.37,  9.0718474         , 13.6077711        ,           10.0,           14.0, Sporting Group          ,                      0.8, Daily Brushing             ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            1.0, Outgoing
 62, American Pit Bull Terrier , Immunoproliferative enteropathy (Basenji), 1+1+11       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 63, American Pit Bull Terrier , Gluten-sensitive enteropathy             , 1+1+11       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 64, American Pit Bull Terrier , Protein-losing enteropathy               , 1+1+11       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 65, Jack Russell Terrier      , Immunoproliferative enteropathy (Basenji), 2+3          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 66, Jack Russell Terrier      , Gluten-sensitive enteropathy             , 2+3          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 67, Jack Russell Terrier      , Protein-losing enteropathy               , 2+3          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 68, Poodle                    , Immunoproliferative enteropathy (Basenji), 4+2+2+2      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 69, Poodle                    , Gluten-sensitive enteropathy             , 4+2+2+2      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 70, Poodle                    , Protein-losing enteropathy               , 4+2+2+2      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 71, Russian Spaniel           , Immunoproliferative enteropathy (Basenji), 2+1+7        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 72, Russian Spaniel           , Gluten-sensitive enteropathy             , 2+1+7        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 73, Russian Spaniel           , Protein-losing enteropathy               , 2+1+7        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 74, Miniature Pinscher        , Immunoproliferative enteropathy (Basenji), 3+1+5        , "Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Fearless, Fun-Loving, Proud"            ,         70,      25.4 ,      31.75,  3.62873896        ,  4.535923700000001,           12.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
 75, Miniature Pinscher        , Gluten-sensitive enteropathy             , 3+1+5        , "Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Fearless, Fun-Loving, Proud"            ,         70,      25.4 ,      31.75,  3.62873896        ,  4.535923700000001,           12.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
 76, Miniature Pinscher        , Protein-losing enteropathy               , 3+1+5        , "Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Fearless, Fun-Loving, Proud"            ,         70,      25.4 ,      31.75,  3.62873896        ,  4.535923700000001,           12.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
 77, Maltipoo                  , Immunoproliferative enteropathy (Basenji), 2+2          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 78, Maltipoo                  , Gluten-sensitive enteropathy             , 2+2          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 79, Maltipoo                  , Protein-losing enteropathy               , 2+2          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
 80, Chinese Shar-Pei          , Immunoproliferative enteropathy (Basenji), 2+6          , "The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Loyal, Independent, Calm"               ,         64,      45.72,      50.8 , 20.41165665        , 27.2155422        ,            8.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
 81, Chinese Shar-Pei          , Gluten-sensitive enteropathy             , 2+6          , "The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Loyal, Independent, Calm"               ,         64,      45.72,      50.8 , 20.41165665        , 27.2155422        ,            8.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
